"TOWN","variable","value"
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X20M7074",NA
"Andover town","X20M7579",45
"Ansonia town","X20M7579",271
"Ashford town","X20M7579",56
"Avon town","X20M7579",282
"Barkhamsted town","X20M7579",71
"Beacon Falls town","X20M7579",131
"Berlin town","X20M7579",377
"Bethany town","X20M7579",107
"Bethel town","X20M7579",251
"Bethlehem town","X20M7579",83
"Bloomfield town","X20M7579",437
"Bolton town","X20M7579",95
"Bozrah town","X20M7579",57
"Branford town","X20M7579",556
"Bridgeport town","X20M7579",1231
"Bridgewater town","X20M7579",61
"Bristol town","X20M7579",835
"Brookfield town","X20M7579",259
"Brooklyn town","X20M7579",123
"Burlington town","X20M7579",167
"Canaan town","X20M7579",23
"Canterbury town","X20M7579",101
"Canton town","X20M7579",226
"Chaplin town","X20M7579",43
"Cheshire town","X20M7579",408
"Chester town","X20M7579",93
"Clinton town","X20M7579",260
"Colchester town","X20M7579",240
"Colebrook town","X20M7579",32
"Columbia town","X20M7579",130
"Cornwall town","X20M7579",40
"Coventry town","X20M7579",212
"Cromwell town","X20M7579",194
"Danbury town","X20M7579",775
"Darien town","X20M7579",210
"Deep River town","X20M7579",83
"Derby town","X20M7579",198
"Durham town","X20M7579",142
"East Granby town","X20M7579",91
"East Haddam town","X20M7579",188
"East Hampton town","X20M7579",235
"East Hartford town","X20M7579",631
"East Haven town","X20M7579",466
"East Lyme town","X20M7579",378
"East Windsor town","X20M7579",201
"Eastford town","X20M7579",33
"Easton town","X20M7579",153
"Ellington town","X20M7579",273
"Enfield town","X20M7579",570
"Essex town","X20M7579",182
"Fairfield town","X20M7579",793
"Farmington town","X20M7579",436
"Franklin town","X20M7579",43
"Glastonbury town","X20M7579",517
"Goshen town","X20M7579",75
"Granby town","X20M7579",180
"Greenwich town","X20M7579",918
"Griswold town","X20M7579",168
"Groton town","X20M7579",579
"Guilford town","X20M7579",543
"Haddam town","X20M7579",186
"Hamden town","X20M7579",709
"Hampton town","X20M7579",46
"Hartford town","X20M7579",1081
"Hartland town","X20M7579",44
"Harwinton town","X20M7579",128
"Hebron town","X20M7579",150
"Kent town","X20M7579",72
"Killingly town","X20M7579",226
"Killingworth town","X20M7579",169
"Lebanon town","X20M7579",114
"Ledyard town","X20M7579",262
"Lisbon town","X20M7579",77
"Litchfield town","X20M7579",209
"Lyme town","X20M7579",85
"Madison town","X20M7579",412
"Manchester town","X20M7579",768
"Mansfield town","X20M7579",237
"Marlborough town","X20M7579",130
"Meriden town","X20M7579",772
"Middlebury town","X20M7579",168
"Middlefield town","X20M7579",71
"Middletown town","X20M7579",617
"Milford town","X20M7579",911
"Monroe town","X20M7579",241
"Montville town","X20M7579",387
"Morris town","X20M7579",45
"Naugatuck town","X20M7579",436
"New Britain town","X20M7579",578
"New Canaan town","X20M7579",256
"New Fairfield town","X20M7579",226
"New Hartford town","X20M7579",129
"New Haven town","X20M7579",1227
"New London town","X20M7579",212
"New Milford town","X20M7579",417
"Newington town","X20M7579",505
"Newtown town","X20M7579",431
"Norfolk town","X20M7579",44
"North Branford town","X20M7579",276
"North Canaan town","X20M7579",58
"North Haven town","X20M7579",490
"North Stonington town","X20M7579",132
"Norwalk town","X20M7579",1003
"Norwich town","X20M7579",550
"Old Lyme town","X20M7579",231
"Old Saybrook town","X20M7579",277
"Orange town","X20M7579",229
"Oxford town","X20M7579",315
"Plainfield town","X20M7579",234
"Plainville town","X20M7579",300
"Plymouth town","X20M7579",181
"Pomfret town","X20M7579",76
"Portland town","X20M7579",170
"Preston town","X20M7579",101
"Prospect town","X20M7579",183
"Putnam town","X20M7579",126
"Redding town","X20M7579",162
"Ridgefield town","X20M7579",300
"Rocky Hill town","X20M7579",363
"Roxbury town","X20M7579",86
"Salem town","X20M7579",73
"Salisbury town","X20M7579",123
"Scotland town","X20M7579",44
"Seymour town","X20M7579",225
"Sharon town","X20M7579",81
"Shelton town","X20M7579",736
"Sherman town","X20M7579",79
"Simsbury town","X20M7579",334
"Somers town","X20M7579",186
"South Windsor town","X20M7579",373
"Southbury town","X20M7579",497
"Southington town","X20M7579",915
"Sprague town","X20M7579",40
"Stafford town","X20M7579",198
"Stamford town","X20M7579",1476
"Sterling town","X20M7579",68
"Stonington town","X20M7579",427
"Stratford town","X20M7579",816
"Suffield town","X20M7579",222
"Thomaston town","X20M7579",103
"Thompson town","X20M7579",179
"Tolland town","X20M7579",238
"Torrington town","X20M7579",564
"Trumbull town","X20M7579",580
"Union town","X20M7579",30
"Vernon town","X20M7579",520
"Voluntown town","X20M7579",46
"Wallingford town","X20M7579",767
"Warren town","X20M7579",57
"Washington town","X20M7579",102
"Waterbury town","X20M7579",1334
"Waterford town","X20M7579",402
"Watertown town","X20M7579",438
"West Hartford town","X20M7579",840
"West Haven town","X20M7579",672
"Westbrook town","X20M7579",202
"Weston town","X20M7579",140
"Westport town","X20M7579",457
"Wethersfield town","X20M7579",465
"Willington town","X20M7579",101
"Wilton town","X20M7579",237
"Winchester town","X20M7579",188
"Windham town","X20M7579",289
"Windsor Locks town","X20M7579",195
"Windsor town","X20M7579",478
"Wolcott town","X20M7579",295
"Woodbridge town","X20M7579",188
"Woodbury town","X20M7579",231
"Woodstock town","X20M7579",151
"","X20M7579",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X20M7579",NA
"Andover town","X20M8084",26
"Ansonia town","X20M8084",151
"Ashford town","X20M8084",33
"Avon town","X20M8084",225
"Barkhamsted town","X20M8084",43
"Beacon Falls town","X20M8084",65
"Berlin town","X20M8084",229
"Bethany town","X20M8084",55
"Bethel town","X20M8084",144
"Bethlehem town","X20M8084",28
"Bloomfield town","X20M8084",298
"Bolton town","X20M8084",64
"Bozrah town","X20M8084",30
"Branford town","X20M8084",328
"Bridgeport town","X20M8084",669
"Bridgewater town","X20M8084",38
"Bristol town","X20M8084",492
"Brookfield town","X20M8084",151
"Brooklyn town","X20M8084",93
"Burlington town","X20M8084",58
"Canaan town","X20M8084",23
"Canterbury town","X20M8084",41
"Canton town","X20M8084",107
"Chaplin town","X20M8084",30
"Cheshire town","X20M8084",228
"Chester town","X20M8084",36
"Clinton town","X20M8084",157
"Colchester town","X20M8084",122
"Colebrook town","X20M8084",11
"Columbia town","X20M8084",76
"Cornwall town","X20M8084",20
"Coventry town","X20M8084",85
"Cromwell town","X20M8084",144
"Danbury town","X20M8084",445
"Darien town","X20M8084",114
"Deep River town","X20M8084",41
"Derby town","X20M8084",113
"Durham town","X20M8084",63
"East Granby town","X20M8084",61
"East Haddam town","X20M8084",78
"East Hampton town","X20M8084",124
"East Hartford town","X20M8084",390
"East Haven town","X20M8084",286
"East Lyme town","X20M8084",250
"East Windsor town","X20M8084",143
"Eastford town","X20M8084",19
"Easton town","X20M8084",85
"Ellington town","X20M8084",135
"Enfield town","X20M8084",379
"Essex town","X20M8084",103
"Fairfield town","X20M8084",514
"Farmington town","X20M8084",275
"Franklin town","X20M8084",18
"Glastonbury town","X20M8084",328
"Goshen town","X20M8084",50
"Granby town","X20M8084",130
"Greenwich town","X20M8084",619
"Griswold town","X20M8084",71
"Groton town","X20M8084",324
"Guilford town","X20M8084",282
"Haddam town","X20M8084",105
"Hamden town","X20M8084",536
"Hampton town","X20M8084",20
"Hartford town","X20M8084",601
"Hartland town","X20M8084",16
"Harwinton town","X20M8084",59
"Hebron town","X20M8084",82
"Kent town","X20M8084",54
"Killingly town","X20M8084",156
"Killingworth town","X20M8084",99
"Lebanon town","X20M8084",55
"Ledyard town","X20M8084",149
"Lisbon town","X20M8084",37
"Litchfield town","X20M8084",125
"Lyme town","X20M8084",44
"Madison town","X20M8084",241
"Manchester town","X20M8084",444
"Mansfield town","X20M8084",122
"Marlborough town","X20M8084",56
"Meriden town","X20M8084",446
"Middlebury town","X20M8084",108
"Middlefield town","X20M8084",46
"Middletown town","X20M8084",398
"Milford town","X20M8084",496
"Monroe town","X20M8084",170
"Montville town","X20M8084",234
"Morris town","X20M8084",17
"Naugatuck town","X20M8084",236
"New Britain town","X20M8084",283
"New Canaan town","X20M8084",156
"New Fairfield town","X20M8084",128
"New Hartford town","X20M8084",72
"New Haven town","X20M8084",673
"New London town","X20M8084",115
"New Milford town","X20M8084",239
"Newington town","X20M8084",330
"Newtown town","X20M8084",276
"Norfolk town","X20M8084",24
"North Branford town","X20M8084",201
"North Canaan town","X20M8084",43
"North Haven town","X20M8084",368
"North Stonington town","X20M8084",60
"Norwalk town","X20M8084",628
"Norwich town","X20M8084",283
"Old Lyme town","X20M8084",130
"Old Saybrook town","X20M8084",196
"Orange town","X20M8084",164
"Oxford town","X20M8084",192
"Plainfield town","X20M8084",136
"Plainville town","X20M8084",179
"Plymouth town","X20M8084",107
"Pomfret town","X20M8084",50
"Portland town","X20M8084",96
"Preston town","X20M8084",65
"Prospect town","X20M8084",94
"Putnam town","X20M8084",71
"Redding town","X20M8084",91
"Ridgefield town","X20M8084",222
"Rocky Hill town","X20M8084",211
"Roxbury town","X20M8084",37
"Salem town","X20M8084",27
"Salisbury town","X20M8084",91
"Scotland town","X20M8084",16
"Seymour town","X20M8084",138
"Sharon town","X20M8084",57
"Shelton town","X20M8084",468
"Sherman town","X20M8084",49
"Simsbury town","X20M8084",204
"Somers town","X20M8084",95
"South Windsor town","X20M8084",260
"Southbury town","X20M8084",321
"Southington town","X20M8084",525
"Sprague town","X20M8084",28
"Stafford town","X20M8084",124
"Stamford town","X20M8084",835
"Sterling town","X20M8084",24
"Stonington town","X20M8084",272
"Stratford town","X20M8084",508
"Suffield town","X20M8084",135
"Thomaston town","X20M8084",69
"Thompson town","X20M8084",99
"Tolland town","X20M8084",143
"Torrington town","X20M8084",313
"Trumbull town","X20M8084",381
"Union town","X20M8084",16
"Vernon town","X20M8084",301
"Voluntown town","X20M8084",14
"Wallingford town","X20M8084",485
"Warren town","X20M8084",25
"Washington town","X20M8084",61
"Waterbury town","X20M8084",742
"Waterford town","X20M8084",262
"Watertown town","X20M8084",256
"West Hartford town","X20M8084",565
"West Haven town","X20M8084",368
"Westbrook town","X20M8084",109
"Weston town","X20M8084",53
"Westport town","X20M8084",264
"Wethersfield town","X20M8084",321
"Willington town","X20M8084",43
"Wilton town","X20M8084",138
"Winchester town","X20M8084",126
"Windham town","X20M8084",178
"Windsor Locks town","X20M8084",131
"Windsor town","X20M8084",298
"Wolcott town","X20M8084",176
"Woodbridge town","X20M8084",104
"Woodbury town","X20M8084",144
"Woodstock town","X20M8084",89
"","X20M8084",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X20M8084",NA
"Andover town","X20M8589",13
"Ansonia town","X20M8589",86
"Ashford town","X20M8589",15
"Avon town","X20M8589",142
"Barkhamsted town","X20M8589",20
"Beacon Falls town","X20M8589",28
"Berlin town","X20M8589",157
"Bethany town","X20M8589",29
"Bethel town","X20M8589",93
"Bethlehem town","X20M8589",17
"Bloomfield town","X20M8589",207
"Bolton town","X20M8589",26
"Bozrah town","X20M8589",23
"Branford town","X20M8589",214
"Bridgeport town","X20M8589",479
"Bridgewater town","X20M8589",25
"Bristol town","X20M8589",336
"Brookfield town","X20M8589",94
"Brooklyn town","X20M8589",42
"Burlington town","X20M8589",35
"Canaan town","X20M8589",13
"Canterbury town","X20M8589",27
"Canton town","X20M8589",71
"Chaplin town","X20M8589",13
"Cheshire town","X20M8589",155
"Chester town","X20M8589",25
"Clinton town","X20M8589",87
"Colchester town","X20M8589",68
"Colebrook town","X20M8589",9
"Columbia town","X20M8589",40
"Cornwall town","X20M8589",16
"Coventry town","X20M8589",44
"Cromwell town","X20M8589",118
"Danbury town","X20M8589",345
"Darien town","X20M8589",66
"Deep River town","X20M8589",21
"Derby town","X20M8589",71
"Durham town","X20M8589",34
"East Granby town","X20M8589",33
"East Haddam town","X20M8589",42
"East Hampton town","X20M8589",56
"East Hartford town","X20M8589",208
"East Haven town","X20M8589",227
"East Lyme town","X20M8589",139
"East Windsor town","X20M8589",74
"Eastford town","X20M8589",10
"Easton town","X20M8589",48
"Ellington town","X20M8589",77
"Enfield town","X20M8589",255
"Essex town","X20M8589",73
"Fairfield town","X20M8589",355
"Farmington town","X20M8589",208
"Franklin town","X20M8589",11
"Glastonbury town","X20M8589",186
"Goshen town","X20M8589",24
"Granby town","X20M8589",72
"Greenwich town","X20M8589",427
"Griswold town","X20M8589",53
"Groton town","X20M8589",215
"Guilford town","X20M8589",166
"Haddam town","X20M8589",38
"Hamden town","X20M8589",361
"Hampton town","X20M8589",12
"Hartford town","X20M8589",303
"Hartland town","X20M8589",11
"Harwinton town","X20M8589",30
"Hebron town","X20M8589",33
"Kent town","X20M8589",34
"Killingly town","X20M8589",96
"Killingworth town","X20M8589",47
"Lebanon town","X20M8589",37
"Ledyard town","X20M8589",78
"Lisbon town","X20M8589",25
"Litchfield town","X20M8589",76
"Lyme town","X20M8589",26
"Madison town","X20M8589",149
"Manchester town","X20M8589",238
"Mansfield town","X20M8589",82
"Marlborough town","X20M8589",32
"Meriden town","X20M8589",304
"Middlebury town","X20M8589",61
"Middlefield town","X20M8589",32
"Middletown town","X20M8589",230
"Milford town","X20M8589",343
"Monroe town","X20M8589",109
"Montville town","X20M8589",145
"Morris town","X20M8589",17
"Naugatuck town","X20M8589",144
"New Britain town","X20M8589",174
"New Canaan town","X20M8589",103
"New Fairfield town","X20M8589",62
"New Hartford town","X20M8589",30
"New Haven town","X20M8589",331
"New London town","X20M8589",67
"New Milford town","X20M8589",133
"Newington town","X20M8589",214
"Newtown town","X20M8589",181
"Norfolk town","X20M8589",15
"North Branford town","X20M8589",116
"North Canaan town","X20M8589",18
"North Haven town","X20M8589",215
"North Stonington town","X20M8589",34
"Norwalk town","X20M8589",397
"Norwich town","X20M8589",198
"Old Lyme town","X20M8589",96
"Old Saybrook town","X20M8589",125
"Orange town","X20M8589",127
"Oxford town","X20M8589",89
"Plainfield town","X20M8589",73
"Plainville town","X20M8589",102
"Plymouth town","X20M8589",55
"Pomfret town","X20M8589",17
"Portland town","X20M8589",72
"Preston town","X20M8589",37
"Prospect town","X20M8589",53
"Putnam town","X20M8589",49
"Redding town","X20M8589",72
"Ridgefield town","X20M8589",150
"Rocky Hill town","X20M8589",141
"Roxbury town","X20M8589",10
"Salem town","X20M8589",8
"Salisbury town","X20M8589",52
"Scotland town","X20M8589",10
"Seymour town","X20M8589",81
"Sharon town","X20M8589",36
"Shelton town","X20M8589",288
"Sherman town","X20M8589",22
"Simsbury town","X20M8589",134
"Somers town","X20M8589",69
